file,content_words,unique_pct,in_sitemap,noindex,"struct(article,main,crumb,toc)",images,generic_template,shortest_bug,tier,title
guided-wave-non-contact.html,1545,2,0,1,1000,0,0,0,RETIRED-noindex,سطح‌سنج راداری | پیشرو تجهیز فرتاک
modbus-tcp-rtu.html,1540,2,0,1,1000,0,0,0,RETIRED-noindex,راهنمای شبکه Modbus TCP/RTU | پیشرو تجهیز فرتاک
thermowell.html,1541,2,0,1,1000,0,0,0,RETIRED-noindex,Thermowell (ترموول) | پیشرو تجهیز فرتاک
api-617.html,1586,3,1,1,1000,0,0,0,RETIRED-noindex,استاندارد API 617 کمپرسورهای محوری | پیشرو تجهیز فرتاک
article-012.html,1574,3,0,1,1000,0,0,0,RETIRED-noindex,تامین تجهیزات صنعت فولاد | پیشرو تجهیز فرتاک
incoterms-2024.html,1580,3,1,1,1000,0,0,0,RETIRED-noindex,Incoterms 2024 | پیشرو تجهیز فرتاک
ndt-rt.html,1590,3,0,1,1000,0,0,0,RETIRED-noindex,بازرسی NDT با تست رادیوگرافی (RT) | پیشرو تجهیز فرتاک
ndt-ut.html,1590,3,0,1,1000,0,0,0,RETIRED-noindex,بازرسی NDT با تست فراصوت (UT) | پیشرو تجهیز فرتاک
profibus-profinet.html,1592,3,0,1,1000,0,0,0,RETIRED-noindex,راهنمای شبکه Profibus و Profinet | پیشرو تجهیز فرتاک
scada.html,1612,3,0,1,1000,0,0,0,RETIRED-noindex,سیستم SCADA در صنعت نفت و گاز | پیشرو تجهیز فرتاک
shutdown.html,1578,3,1,1,1000,0,0,0,RETIRED-noindex,تجهیزات Shutdown و اورهال صنعتی | پیشرو تجهیز فرتاک
atex-iecex-hazardous-area-guide.html,1592,4,1,0,1000,0,1,1,MERGE-or-REWRITE,راهنمای استاندارد ATEX و IECEx برای مناطق خطرناک
gas-analyzer-industry-guide.html,1604,4,1,0,1000,0,1,1,MERGE-or-REWRITE,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک
hart-calibration-training.html,1603,4,1,0,1000,0,1,1,MERGE-or-REWRITE,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک
hydrostatic-level-transmitter.html,1593,4,1,0,1000,0,1,1,MERGE-or-REWRITE,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک
industrial-cable-selection-guide.html,1596,4,1,0,1000,0,1,1,MERGE-or-REWRITE,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک
instrument-calibration-standards.html,1593,4,1,0,1000,0,1,1,MERGE-or-REWRITE,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک
